"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2021-12-23","D072112230047312149","202112230353329203","萨摩耶有限担保","998","百行三要素验证;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047291908","202112230353326132","萨摩耶有限担保","998","百行三要素验证;百行手机在网时长;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047302654","202112230353324854","萨摩耶有限担保","998","是否复借;百行三要素验证;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047332134","202112230353328445","萨摩耶无限担保","997",""
"2021-12-23","D072112230047291908","202112230353326146","萨摩耶无限担保","998","百行手机在网时长;萨摩耶风险评价模型_无限"
"2021-12-23","D072112230047311456","202112230353311299","萨摩耶有限担保","998","手机归属地验证;百行手机在网时长;百行手机在网状态"
"2021-12-23","D072112230047302378","202112230353318481","萨摩耶无限担保","998","征信白户拒绝"
"2021-12-23","D072112230047321786","202112230353314899","萨摩耶有限担保","998","是否复借;手机归属地验证;百行三要素验证;征信白户拒绝;近1个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2021-12-23","D072112230047302654","202112230353324886","萨摩耶无限担保","998","百行手机在网状态"
"2021-12-23","D072112230047312149","202112230353329239","萨摩耶无限担保","997",""
"2021-12-23","D072112230047291464","202112230353313111","萨摩耶有限担保","998","百行三要素验证;百行手机在网时长;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047302192","202112230353313375","萨摩耶无限担保","998","百行手机在网时长;百行手机在网状态"
"2021-12-23","D072112230047311456","202112230353311340","萨摩耶无限担保","998","百行手机在网时长;百行手机在网状态"
"2021-12-23","D072112230047331804","202112230353322605","萨摩耶有限担保","998","征信白户拒绝;百行手机在网时长;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047322368","202112230353327727","萨摩耶有限担保","998","手机归属地验证;贷记卡当前逾期期数大于等于1;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047291957","202112230353327219","萨摩耶有限担保","998","是否复借;手机归属地验证;萨摩耶风险评价模型"
"2021-12-23","D072112230047321557","202112230351972732","萨摩耶有限担保","998","是否复借;萨摩耶风险评价模型"
"2021-12-23","D072112230047302531","202112230353322876","萨摩耶有限担保","998","是否复借;手机归属地验证;百行三要素验证;征信白户拒绝;萨摩耶风险评价模型"
"2021-12-23","D072112230047321557","202112230351972737","萨摩耶无限担保","997",""
"2021-12-23","D072112230047291464","202112230353313151","萨摩耶无限担保","998","百行手机在网时长;百行手机在网状态;萨摩耶风险评价模型_无限"
"2021-12-23","D072112230047321786","202112230353314945","萨摩耶无限担保","998","征信白户拒绝;萨摩耶风险评价模型_无限"
"2021-12-23","D072112230047321764","202112230353314182","萨摩耶有限担保","998","是否复借;征信白户拒绝;百行手机在网状态;萨摩耶风险评价模型"
"2021-12-23","D072112230047311901","202112230353324937","萨摩耶有限担保","998","手机归属地验证;百行三要素验证;百行手机在网时长"
