"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2022-03-01","D072203010049530671","202203010439714872","萨摩耶有限担保","997",""
"2022-03-01","D072203010049571264","202203010439726392","萨摩耶无限担保","997",""
"2022-03-01","D072203010049571102","202203010439722568","萨摩耶有限担保","998","是否复借;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-03-01","D072203010049630111","202203010439731528","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049540885","202203010439716171","萨摩耶无限担保","997",""
"2022-03-01","D072203010049571102","202203010439722571","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049600066","202203010439728978","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049600066","202203010439728990","萨摩耶无限担保","997",""
"2022-03-01","D072203010049630111","202203010439731551","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049530742","202203010439716711","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049570517","202203010439712110","萨摩耶有限担保","998","手机归属地验证"
"2022-03-01","D072203010049570517","202203010439712113","萨摩耶无限担保","997",""
"2022-03-01","D072203010049530742","202203010439716721","萨摩耶无限担保","997",""
"2022-03-01","D072203010049531159","202203010439724188","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049561225","202203010439724719","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近1个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-03-01","D072203010049561275","202203010439726002","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049550822","202203010439717812","萨摩耶有限担保","998","百行三要素验证"
"2022-03-01","D072203010049600098","202203010439729844","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;非循环贷当前逾期金额;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-03-01","D072203010049600098","202203010439729846","萨摩耶无限担保","998","近6个月人行征信查询次数_无限担保;非循环贷当前逾期金额;萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049561225","202203010439724729","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049531159","202203010439724220","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049561275","202203010439726021","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049550883","202203010439718854","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049580008","202203010439713735","萨摩耶有限担保","998","近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;百行手机在网时长"
"2022-03-01","D072203010049571182","202203010439723723","萨摩耶有限担保","998","手机归属地验证"
"2022-03-01","D072203010049571182","202203010439723734","萨摩耶无限担保","997",""
"2022-03-01","D072203010049580008","202203010439713753","萨摩耶无限担保","997",""
"2022-03-01","D072203010049610004","202203010439728346","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049550822","202203010439717852","萨摩耶无限担保","997",""
"2022-03-01","D072203010049550883","202203010439718879","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049560377","202203010438326926","萨摩耶有限担保","998","近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-03-01","D072203010049560378","202203010438326927","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049570387","202203010438326929","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049560376","202203010438326930","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049560377","202203010438326933","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049560378","202203010438326934","萨摩耶无限担保","997",""
"2022-03-01","D072203010049610004","202203010439728369","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049570387","202203010438326935","萨摩耶无限担保","997",""
"2022-03-01","D072203010049560376","202203010438326936","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049660069","202203010439733748","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049590077","202203010439729400","萨摩耶有限担保","998","是否复借;萨摩耶风险评价模型"
"2022-03-01","D072203010049660069","202203010439733758","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049540596","202203010439711761","萨摩耶有限担保","998","百行三要素验证"
"2022-03-01","D072203010049590077","202203010439729427","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049561065","202203010439721493","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-01","D072203010049610044","202203010439729173","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-01","D072203010049540596","202203010439711766","萨摩耶无限担保","997",""
"2022-03-01","D072203010049610044","202203010439729176","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049561065","202203010439721498","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-01","D072203010049571264","202203010439726375","萨摩耶有限担保","998","手机归属地验证;百行三要素验证"
"2022-03-01","D072203010049540885","202203010439716139","萨摩耶有限担保","998","手机归属地验证"
"2022-03-01","D072203010049660051","202203010439733548","萨摩耶有限担保","998","非循环贷当前逾期金额;萨摩耶风险评价模型"
"2022-03-01","D072203010049660051","202203010439733551","萨摩耶无限担保","998","非循环贷当前逾期金额;萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049680389","202203020441115749","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049680859","202203020441126761","萨摩耶有限担保","998","手机归属地验证;百行三要素验证;萨摩耶风险评价模型"
"2022-03-02","D072203020049680859","202203020441126763","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049710003","202203020439740946","萨摩耶有限担保","998","是否复借;手机归属地验证;近1个月人行征信查询次数_人行信息厚"
"2022-03-02","D072203020049710003","202203020439740947","萨摩耶无限担保","997",""
"2022-03-02","D072203020049660711","202203020441119089","萨摩耶有限担保","998","是否复借;手机归属地验证;近1个月百融多头_人行信息厚;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-03-02","D072203020049660711","202203020441119103","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049690999","202203020441129088","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-02","D072203020049670619","202203020441115776","萨摩耶有限担保","998","手机归属地验证;百行三要素验证"
"2022-03-02","D072203020049700819","202203020441126275","萨摩耶有限担保","998","近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-03-02","D072203020049690999","202203020441129096","萨摩耶无限担保","997",""
"2022-03-02","D072203020049700819","202203020441126289","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049670619","202203020441115794","萨摩耶无限担保","997",""
"2022-03-02","D072203020049690603","202203020441119640","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-02","D072203020049671360","202203020441131935","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-02","D072203020049671360","202203020441131940","萨摩耶无限担保","997",""
"2022-03-02","D072203020049690603","202203020441119656","萨摩耶无限担保","997",""
"2022-03-02","D072203020049670555","202203020441115051","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-03-02","D072203020049670555","202203020441115053","萨摩耶无限担保","997",""
"2022-03-02","D072203020049690320","202203020439736710","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-02","D072203020049690320","202203020439736712","萨摩耶无限担保","997",""
"2022-03-02","D072203020049690321","202203020439736716","萨摩耶有限担保","998","是否复借;手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-03-02","D072203020049670281","202203020439736717","萨摩耶有限担保","998","近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-03-02","D072203020049680264","202203020439736718","萨摩耶有限担保","998","是否复借"
"2022-03-02","D072203020049680263","202203020439736719","萨摩耶有限担保","998","贷款五级分类;一般贷款当前逾期期数大于等于3;一般贷款当前逾期期数大于等于1;近3个月贷款连续逾期期数;萨摩耶风险评价模型"
"2022-03-02","D072203020049660293","202203020439736720","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-03-02","D072203020049700465","202203020441117626","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-03-02","D072203020049660293","202203020439736721","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049690321","202203020439736722","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-03-02","D072203020049661321","202203020441131709","萨摩耶有限担保","998","是否复借;百行三要素验证;近1个月人行征信查询次数_人行信息厚"
