"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017","X172","X171","X170","X169","X016","X017"
"D072203010049530671","萨摩耶有限担保","202203010439714872","0","-999999","0.448300","0","218","0","-999999","20","0","30","49","13000.00","13000.00","0.454500","-999999.0000","0.818200","0","1","1","0","-999999","-999999","0","0","2","33","-999999","-999999"
"D072203010049530742","萨摩耶无限担保","202203010439716711","0","-999999","-999999.000000","0","635","0","-999999","19","0","25","30","-999999.00","-999999.00","0.958300","-999999.0000","0.750000","0","1","0","0","-999999","-999999","0","0","3","31","-999999","-999999"
"D072203010049530742","萨摩耶有限担保","202203010439716711","0","-999999","-999999.000000","0","635","0","-999999","19","0","25","30","-999999.00","-999999.00","0.958300","-999999.0000","0.750000","0","1","0","0","-999999","-999999","0","0","3","31","-999999","-999999"
"D072203010049531159","萨摩耶无限担保","202203010439724188","1","-999999","0.957300","0","158","2","-999999","19","0","11","65","15621.00","36000.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","8","35","-999999","-999999"
"D072203010049531159","萨摩耶有限担保","202203010439724188","1","-999999","0.957300","0","158","2","-999999","19","0","11","65","15621.00","36000.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","8","35","-999999","-999999"
"D072203010049540596","萨摩耶无限担保","202203010439711761","0","-999999","-999999.000000","0","-999999","0","-999999","6","0","30","50","-999999.00","-999999.00","0.833300","-999999.0000","0.833300","0","1","0","0","-999999","-999999","0","0","0","17","-999999","-999999"
"D072203010049540596","萨摩耶有限担保","202203010439711761","0","-999999","-999999.000000","0","-999999","0","-999999","6","0","30","50","-999999.00","-999999.00","0.833300","-999999.0000","0.833300","0","1","0","0","-999999","-999999","0","0","0","17","-999999","-999999"
"D072203010049540885","萨摩耶无限担保","202203010439716139","1","-999999","0.000000","0","179","0","-999999","5","0","35","47","4000.00","-999999.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","5","-999999","-999999"
"D072203010049540885","萨摩耶有限担保","202203010439716139","1","-999999","0.000000","0","179","0","-999999","5","0","35","47","4000.00","-999999.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","5","-999999","-999999"
"D072203010049550822","萨摩耶无限担保","202203010439717812","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","12","20","-999999.00","-999999.00","0.000000","836.0000","0.800000","0","1","0","0","-999999","-999999","0","1","0","13","-999999","-999999"
"D072203010049550822","萨摩耶有限担保","202203010439717812","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","12","20","-999999.00","-999999.00","0.000000","836.0000","0.800000","0","1","0","0","-999999","-999999","0","1","0","13","-999999","-999999"
"D072203010049550883","萨摩耶无限担保","202203010439718854","1","-999999","1.000000","0","238","0","-999999","44","0","45","51","10000.00","24000.00","0.827600","-999999.0000","0.896600","0","1","1","0","-999999","-999999","0","0","1","64","-999999","-999999"
"D072203010049550883","萨摩耶有限担保","202203010439718854","1","-999999","1.000000","0","238","0","-999999","44","0","45","51","10000.00","24000.00","0.827600","-999999.0000","0.896600","0","1","1","0","-999999","-999999","0","0","1","64","-999999","-999999"
"D072203010049560376","萨摩耶无限担保","202203010438326930","4","-999999","-999999.000000","0","149","0","57","23","6","31","67","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","3","30","-999999","-999999"
"D072203010049560376","萨摩耶有限担保","202203010438326930","4","-999999","-999999.000000","0","149","0","57","23","6","31","67","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","3","30","-999999","-999999"
"D072203010049560377","萨摩耶无限担保","202203010438326926","1","-999999","1.000000","0","-999999","0","49","24","0","47","173","8000.00","15130.00","0.777800","-999999.0000","0.963000","0","1","1","0","-999999","-999999","0","0","0","45","-999999","-999999"
"D072203010049560377","萨摩耶有限担保","202203010438326926","1","-999999","1.000000","0","-999999","0","49","24","0","47","173","8000.00","15130.00","0.777800","-999999.0000","0.963000","0","1","1","0","-999999","-999999","0","0","0","45","-999999","-999999"
"D072203010049560378","萨摩耶无限担保","202203010438326927","1","-999999","-999999.000000","0","-999999","0","-999999","8","0","17","21","-999999.00","-999999.00","0.666700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","31","-999999","-999999"
"D072203010049560378","萨摩耶有限担保","202203010438326927","1","-999999","-999999.000000","0","-999999","0","-999999","8","0","17","21","-999999.00","-999999.00","0.666700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","31","-999999","-999999"
"D072203010049561065","萨摩耶无限担保","202203010439721493","1","-999999","-999999.000000","0","71","0","-999999","16","0","21","48","-999999.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","3","21","-999999","-999999"
"D072203010049561065","萨摩耶有限担保","202203010439721493","1","-999999","-999999.000000","0","71","0","-999999","16","0","21","48","-999999.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","3","21","-999999","-999999"
"D072203010049561225","萨摩耶无限担保","202203010439724719","2","-999999","-999999.000000","0","158","0","-999999","34","0","32","43","-999999.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","12","76","-999999","-999999"
"D072203010049561225","萨摩耶有限担保","202203010439724719","2","-999999","-999999.000000","0","158","0","-999999","34","0","32","43","-999999.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","12","76","-999999","-999999"
"D072203010049561275","萨摩耶无限担保","202203010439726002","0","-999999","1.000000","0","76","0","27","21","7","6","53","2000.00","25000.00","1.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","11","24","-999999","-999999"
"D072203010049561275","萨摩耶有限担保","202203010439726002","0","-999999","1.000000","0","76","0","27","21","7","6","53","2000.00","25000.00","1.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","11","24","-999999","-999999"
"D072203010049570387","萨摩耶无限担保","202203010438326929","0","-999999","-999999.000000","0","341","0","-999999","23","0","77","33","-999999.00","-999999.00","0.800000","-999999.0000","0.900000","0","1","0","0","-999999","-999999","0","0","1","37","-999999","-999999"
"D072203010049570387","萨摩耶有限担保","202203010438326929","0","-999999","-999999.000000","0","341","0","-999999","23","0","77","33","-999999.00","-999999.00","0.800000","-999999.0000","0.900000","0","1","0","0","-999999","-999999","0","0","1","37","-999999","-999999"
"D072203010049570517","萨摩耶无限担保","202203010439712110","0","-999999","1.000000","0","-999999","0","-999999","5","0","2","113","32000.00","32000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","0","5","-999999","-999999"
"D072203010049570517","萨摩耶有限担保","202203010439712110","0","-999999","1.000000","0","-999999","0","-999999","5","0","2","113","32000.00","32000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","0","5","-999999","-999999"
"D072203010049571102","萨摩耶无限担保","202203010439722568","3","-999999","1.000000","0","-999999","0","-999999","46","0","34","28","3000.00","3000.00","0.666700","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","0","68","-999999","-999999"
"D072203010049571102","萨摩耶有限担保","202203010439722568","3","-999999","1.000000","0","-999999","0","-999999","46","0","34","28","3000.00","3000.00","0.666700","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","0","68","-999999","-999999"
"D072203010049571182","萨摩耶无限担保","202203010439723723","0","-999999","1.000000","0","247","0","-999999","6","0","69","49","3000.00","7000.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","3","11","-999999","-999999"
"D072203010049571182","萨摩耶有限担保","202203010439723723","0","-999999","1.000000","0","247","0","-999999","6","0","69","49","3000.00","7000.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","3","11","-999999","-999999"
"D072203010049571264","萨摩耶无限担保","202203010439726375","0","-999999","-999999.000000","0","-999999","0","-999999","7","0","20","44","-999999.00","-999999.00","0.750000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","14","-999999","-999999"
"D072203010049571264","萨摩耶有限担保","202203010439726375","0","-999999","-999999.000000","0","-999999","0","-999999","7","0","20","44","-999999.00","-999999.00","0.750000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","14","-999999","-999999"
"D072203010049580008","萨摩耶无限担保","202203010439713735","1","-999999","0.000000","0","620","0","-999999","46","0","56","58","2000.00","2000.00","0.500000","592.0000","1.000000","0","1","1","0","-999999","-999999","0","1","1","74","-999999","-999999"
"D072203010049580008","萨摩耶有限担保","202203010439713735","1","-999999","0.000000","0","620","0","-999999","46","0","56","58","2000.00","2000.00","0.500000","592.0000","1.000000","0","1","1","0","-999999","-999999","0","1","1","74","-999999","-999999"
"D072203010049590077","萨摩耶无限担保","202203010439729400","1","-999999","-999999.000000","0","-999999","0","-999999","13","0","7","19","-999999.00","-999999.00","0.285700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","16","-999999","-999999"
"D072203010049590077","萨摩耶有限担保","202203010439729400","1","-999999","-999999.000000","0","-999999","0","-999999","13","0","7","19","-999999.00","-999999.00","0.285700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","16","-999999","-999999"
"D072203010049600066","萨摩耶无限担保","202203010439728978","0","1","0.500000","0","393","0","22","9","1","53","84","5000.00","5000.00","0.678600","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","38","-999999","-999999"
"D072203010049600066","萨摩耶有限担保","202203010439728978","0","1","0.500000","0","393","0","22","9","1","53","84","5000.00","5000.00","0.678600","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","38","-999999","-999999"
"D072203010049600098","萨摩耶无限担保","202203010439729844","3","2","1.000000","0","236","2","23","64","1","73","185","30000.00","74000.00","0.730800","630.0000","0.923100","0","1","1","0","-999999","-999999","0","1","2","110","-999999","-999999"
"D072203010049600098","萨摩耶有限担保","202203010439729844","3","2","1.000000","0","236","2","23","64","1","73","185","30000.00","74000.00","0.730800","630.0000","0.923100","0","1","1","0","-999999","-999999","0","1","2","110","-999999","-999999"
"D072203010049610004","萨摩耶无限担保","202203010439728346","1","-999999","-999999.000000","0","-999999","0","-999999","26","0","18","63","-999999.00","-999999.00","0.777800","-999999.0000","0.888900","0","1","0","0","-999999","-999999","0","0","0","26","-999999","-999999"
"D072203010049610004","萨摩耶有限担保","202203010439728346","1","-999999","-999999.000000","0","-999999","0","-999999","26","0","18","63","-999999.00","-999999.00","0.777800","-999999.0000","0.888900","0","1","0","0","-999999","-999999","0","0","0","26","-999999","-999999"
"D072203010049610044","萨摩耶无限担保","202203010439729173","1","1","0.988500","0","249","2","13","12","0","22","138","-999999.00","15000.00","0.666700","-999999.0000","0.666700","1","1","1","0","-999999","-999999","0","0","5","18","-999999","-999999"
"D072203010049610044","萨摩耶有限担保","202203010439729173","1","1","0.988500","0","249","2","13","12","0","22","138","-999999.00","15000.00","0.666700","-999999.0000","0.666700","1","1","1","0","-999999","-999999","0","0","5","18","-999999","-999999"
"D072203010049630111","萨摩耶无限担保","202203010439731528","2","-999999","-999999.000000","0","-999999","0","-999999","22","0","32","31","-999999.00","-999999.00","0.736800","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","35","-999999","-999999"
"D072203010049630111","萨摩耶有限担保","202203010439731528","2","-999999","-999999.000000","0","-999999","0","-999999","22","0","32","31","-999999.00","-999999.00","0.736800","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","35","-999999","-999999"
"D072203010049660051","萨摩耶无限担保","202203010439733548","1","-999999","1.000000","0","219","1","25","30","0","23","84","10000.00","40192.00","0.647100","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","8","43","-999999","-999999"
"D072203010049660051","萨摩耶有限担保","202203010439733548","1","-999999","1.000000","0","219","1","25","30","0","23","84","10000.00","40192.00","0.647100","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","8","43","-999999","-999999"
"D072203010049660069","萨摩耶无限担保","202203010439733748","0","-999999","-999999.000000","0","-999999","0","-999999","26","0","26","61","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","27","-999999","-999999"
"D072203010049660069","萨摩耶有限担保","202203010439733748","0","-999999","-999999.000000","0","-999999","0","-999999","26","0","26","61","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","27","-999999","-999999"
"D072203020049660293","萨摩耶无限担保","11164522887383113131","0","-999999","1.000000","0","158","1","-999999","34","0","28","54","4000.00","4000.00","0.761900","-999999.0000","1.000000","0","1","1","0","-999999","-999999","","","","","-999999","-999999"
"D072203020049660293","萨摩耶有限担保","11164522887383113131","0","-999999","1.000000","0","158","1","-999999","34","0","28","54","4000.00","4000.00","0.761900","-999999.0000","1.000000","0","1","1","0","-999999","-999999","","","","","-999999","-999999"
"D072203020049660711","萨摩耶无限担保","202203020441119089","0","-999999","1.000000","0","68","1","-999999","48","0","30","80","3000.00","21000.00","0.461500","-999999.0000","0.769200","0","1","1","0","-999999","-999999","0","0","2","65","-999999","-999999"
"D072203020049660711","萨摩耶有限担保","202203020441119089","0","-999999","1.000000","0","68","1","-999999","48","0","30","80","3000.00","21000.00","0.461500","-999999.0000","0.769200","0","1","1","0","-999999","-999999","0","0","2","65","-999999","-999999"
"D072203020049660758","萨摩耶无限担保","202203020441119758","0","-999999","1.000000","0","-999999","1","27","30","1","116","52","5000.00","5000.00","0.846200","348.0000","1.000000","0","1","1","0","-999999","-999999","0","1","0","38","-999999","-999999"
"D072203020049660758","萨摩耶有限担保","202203020441119758","0","-999999","1.000000","0","-999999","1","27","30","1","116","52","5000.00","5000.00","0.846200","348.0000","1.000000","0","1","1","0","-999999","-999999","0","1","0","38","-999999","-999999"
"D072203020049660902","萨摩耶无限担保","202203020441123125","0","-999999","0.702200","1","446","5","41","26","0","88","164","6000.00","40000.00","0.700000","894.0000","0.975000","0","1","1","0","-999999","-999999","0","1","2","45","-999999","-999999"
"D072203020049660902","萨摩耶有限担保","202203020441123125","0","-999999","0.702200","1","446","5","41","26","0","88","164","6000.00","40000.00","0.700000","894.0000","0.975000","0","1","1","0","-999999","-999999","0","1","2","45","-999999","-999999"
"D072203020049660958","萨摩耶无限担保","202203020441125138","0","-999999","-999999.000000","0","181","0","-999999","17","0","9","14","-999999.00","-999999.00","0.666700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","2","20","-999999","-999999"
"D072203020049660958","萨摩耶有限担保","202203020441125138","0","-999999","-999999.000000","0","181","0","-999999","17","0","9","14","-999999.00","-999999.00","0.666700","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","2","20","-999999","-999999"
"D072203020049661233","萨摩耶无限担保","202203020441129921","0","2","0.959000","0","197","3","8","21","0","22","223","5000.00","50000.00","0.571400","-999999.0000","1.000000","2","1","1","1","-999999","-999999","0","0","3","35","-999999","-999999"
