"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2022-02-07","11164422301367442016","202202070409480456","微博导流","998","手机归属地验证"
"2022-02-07","11164421868158674753","202202070409479968","微博导流","998","微博导流_风险评价模型2"
"2022-02-07","11164423141765937434","202202070409481251","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164420605364257621","202202070409478191","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-07","11164422346869356526","202202070409480498","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-07","11164421444309290780","202202070409479226","微博导流","998","手机归属地验证"
"2022-02-07","11164422980755723570","202202070409481027","微博导流","998","手机归属地验证;百行三要素验证;近1个月人行征信查询次数_人行信息厚"
"2022-02-07","11164421459267354294","202202070409479238","微博导流","998","手机归属地验证;百行三要素验证;微博导流_风险评价模型2"
"2022-02-07","11164422396056369309","202202070409480535","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-07","11164423016550474687","202202070409481055","微博导流","998","近1个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164422133160975971","202202070409480291","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-07","11164421810029880723","202202070409479820","微博导流","998","区域性验证"
"2022-02-07","11164422785353074237","202202070409480857","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164421917693573071","202202070409480114","微博导流","997",""
"2022-02-07","11164421923008670895","202202070409480122","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164421567940584386","202202070409479367","微博导流","997",""
"2022-02-07","11164422853572153918","202202070409480917","微博导流","997",""
"2022-02-07","11164420730032774694","202202070409478364","微博导流","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164422536608567345","202202070409480670","微博导流","998","中风险限制;百行手机在网时长;微博导流_风险评价模型2"
"2022-02-07","11164421376792833465","202202070409479151","微博导流","998","百行三要素验证"
"2022-02-07","11164422281960092373","202202070409480434","微博导流","998","百行三要素验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-07","11164422288842599736","202202070409480438","微博导流","998","近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164431674811481378","202202080410846012","微博导流","998","近1个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164431689882094717","202202080410846016","微博导流","998","百行三要素验证"
"2022-02-08","11164429578408717339","202202080410841410","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164429740023291623","202202080410841674","微博导流","998","微博导流_风险评价模型2"
"2022-02-08","11164429993570820313","202202080410842193","微博导流","998","手机归属地验证;百行三要素验证;循环贷当前逾期金额;非循环贷当前逾期金额;中风险限制;微博导流_风险评价模型2"
"2022-02-08","11164431174270182550","202202080410845013","微博导流","998","微博导流_风险评价模型2"
"2022-02-08","11164431257482998236","202202080410845271","微博导流","998","近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164430885181087713","202202080410844259","微博导流","998","近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164429358456859965","202202080410840934","微博导流","998","手机归属地验证"
"2022-02-08","11164427841950486287","202202080410835823","微博导流","998","百行三要素验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚"
"2022-02-08","11164427847029938786","202202080410835839","微博导流","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164427842602761236","202202080410835840","微博导流","998","行内反洗钱检查;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164431539400432204","202202080410845824","微博导流","998","近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164428830063292982","202202080410839438","微博导流","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164431286773834443","202202080410845326","微博导流","997",""
"2022-02-08","11164430109015660952","202202080410842511","微博导流","998","手机归属地验证;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164430243000732449","202202080410843033","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-08","11164427847192325190","202202080410835867","微博导流","998","近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;中风险限制;微博导流_风险评价模型2"
"2022-02-08","11164431559552896108","202202080410845852","微博导流","998","手机归属地验证;百行三要素验证;近3个月人行征信查询次数_人行信息厚"
"2022-02-08","11164428662472625471","202202080410838950","微博导流","998","近3个月百融多头_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164430024298795374","202202080410842290","微博导流","998","百行三要素验证;近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164428367177378977","202202080410837939","微博导流","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164429800814742919","202202080410841779","微博导流","998","手机归属地验证"
"2022-02-08","11164430036068649422","202202080410842292","微博导流","997",""
"2022-02-08","11164430257912960878","202202080410843061","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164430787562996245","202202080410844086","微博导流","998","微博导流_风险评价模型2"
"2022-02-08","11164428841524145425","202202080410839479","微博导流","998","手机归属地验证"
"2022-02-08","11164428679469812351","202202080410838975","微博导流","998","近3个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164430133847599182","202202080410842560","微博导流","998","非循环贷当前逾期金额;中风险限制"
"2022-02-08","11164429027931166359","202202080410840011","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚"
"2022-02-08","11164428683038234213","202202080410838996","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-02-08","11164428083873730158","202202080410836718","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚"
"2022-02-08","11164427932969332905","202202080410836207","微博导流","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-02-08","11164429114663470320","202202080410840303","微博导流","998","微博导流_风险评价模型2"
