"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164420605364257621","微博导流","11164420605364257621","0","2","1.000000","0","-999999","1","21","11","1","41","59","30000.00","30000.00","0.800000","-999999.0000","1.000000","2","1","1","0","-999999","-999999"
"11164420730032774694","微博导流","11164420730032774694","0","-999999","1.000000","0","0","0","-999999","22","0","12","51","10000.00","10000.00","0.333300","-999999.0000","0.833300","0","1","1","0","-999999","-999999"
"11164421376792833465","微博导流","11164187648627599948","1","-999999","1.000000","1","174","0","-999999","4","0","12","52","-999999.00","5000.00","0.400000","400.0000","0.800000","0","1","1","0","-999999","-999999"
"11164421444309290780","微博导流","11164421444309290780","0","-999999","1.000000","0","-999999","0","-999999","3","0","7","47","30000.00","30000.00","0.333300","307.0000","1.000000","0","1","1","0","-999999","-999999"
"11164421459267354294","微博导流","11164205284187633628","0","-999999","-999999.000000","0","-999999","0","-999999","5","0","9","23","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164421567940584386","微博导流","11164293434027784790","0","-999999","1.000000","1","232","0","39","5","1","29","108","36000.00","36000.00","0.066700","-999999.0000","0.933300","0","1","1","0","-999999","-999999"
"11164421810029880723","微博导流","11164421810029880723","0","-999999","0.000000","0","-999999","0","-999999","7","0","7","127","2000.00","-999999.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164421868158674753","微博导流","11164199650799265515","2","-999999","0.437500","0","189","0","50","31","0","206","157","1.00","80000.00","0.142900","-999999.0000","0.714300","0","1","1","0","-999999","-999999"
"11164421917693573071","微博导流","11164403260726076169","0","-999999","0.583300","0","442","0","-999999","6","0","29","41","5000.00","9000.00","0.650000","-999999.0000","0.950000","0","1","1","0","-999999","-999999"
"11164421923008670895","微博导流","11164421923008670895","2","1","1.000000","0","76","1","16","35","1","44","55","-999999.00","10000.00","0.454500","826.6667","1.000000","1","1","1","0","-999999","-999999"
"11164422133160975971","微博导流","11164422133160975971","0","-999999","-999999.000000","0","158","0","-999999","16","0","9","30","-999999.00","-999999.00","0.800000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164422281960092373","微博导流","11164213792688175411","1","-999999","1.000000","0","14","0","-999999","17","0","19","27","3000.00","3000.00","0.214300","-999999.0000","0.642900","0","1","1","0","-999999","-999999"
