"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2022-02-23","D072202230049370016","202202230431410610","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049290327","202202230430037007","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049330219","202202230430037008","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-23","D072202230049300972","202202230431416251","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049290328","202202230430037009","萨摩耶有限担保","997",""
"2022-02-23","D072202230049290327","202202230430037010","萨摩耶无限担保","997",""
"2022-02-23","D072202230049330219","202202230430037011","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049370016","202202230431410624","萨摩耶无限担保","997",""
"2022-02-23","D072202230049300972","202202230431416260","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049330662","202202230431413710","萨摩耶有限担保","998","申请人征信账户状态;非循环贷当前逾期金额"
"2022-02-23","D072202230049330662","202202230431413715","萨摩耶无限担保","998","申请人征信账户状态;非循环贷当前逾期金额"
"2022-02-23","D072202230049330838","202202230431416019","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049320200","202202230430037546","萨摩耶有限担保","997",""
"2022-02-23","D072202230049330838","202202230431416024","萨摩耶无限担保","997",""
"2022-02-23","D072202230049310511","202202230431411180","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-23","D072202230049310511","202202230431411183","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049340022","202202230431411440","萨摩耶有限担保","998","手机归属地验证;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-02-23","D072202230049340022","202202230431411444","萨摩耶无限担保","997",""
"2022-02-23","D072202230049310912","202202230431416346","萨摩耶有限担保","998","是否复借;手机归属地验证"
"2022-02-23","D072202230049310912","202202230431416349","萨摩耶无限担保","997",""
"2022-02-23","D072202230049330498","202202230431411516","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049330498","202202230431411521","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049320335","202202230431409986","萨摩耶有限担保","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;近1个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-02-23","D072202230049320608","202202230431413320","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-23","D072202230049320335","202202230431409993","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049320608","202202230431413326","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049320824","202202230431416400","萨摩耶有限担保","998","是否复借;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-02-23","D072202230049320824","202202230431416401","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049350012","202202230431410520","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049350012","202202230431410523","萨摩耶无限担保","997",""
"2022-02-23","D072202230049330467","202202230431411292","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049330467","202202230431411296","萨摩耶无限担保","997",""
"2022-02-23","D072202230049290544","202202230431409513","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-23","D072202230049290544","202202230431409517","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-23","D072202230049330787","202202230431415422","萨摩耶有限担保","998","百行三要素验证;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-02-23","D072202230049330800","202202230431415681","萨摩耶有限担保","998","手机归属地验证"
"2022-02-23","D072202230049330800","202202230431415683","萨摩耶无限担保","997",""
"2022-02-23","D072202230049330787","202202230431415430","萨摩耶无限担保","997",""
"2022-02-23","D072202230049320198","202202230430037472","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-23","D072202230049330439","202202230431411086","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049320198","202202230430037477","萨摩耶无限担保","997",""
"2022-02-23","D072202230049320628","202202230431413649","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-23","D072202230049330439","202202230431411091","萨摩耶无限担保","997",""
"2022-02-23","D072202230049320628","202202230431413658","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-24","D072202240049311633","202202240432793816","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-24","D072202240049311633","202202240432793821","萨摩耶无限担保","997",""
"2022-02-24","D072202240049321284","202202240432792040","萨摩耶有限担保","997",""
"2022-02-24","D072202240049331820","202202240432797421","萨摩耶有限担保","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚"
"2022-02-24","D072202240049331820","202202240432797423","萨摩耶无限担保","997",""
"2022-02-24","D072202240049301713","202202240432793090","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049301793","202202240432793861","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-24","D072202240049301713","202202240432793094","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-24","D072202240049301793","202202240432793862","萨摩耶无限担保","997",""
"2022-02-24","D072202240049301794","202202240432793865","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-24","D072202240049301794","202202240432793870","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-24","D072202240049370044","202202240432797721","萨摩耶有限担保","998","手机归属地验证;近24个月贷款累计逾期次数;萨摩耶风险评价模型"
"2022-02-24","D072202240049370044","202202240432797730","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-24","D072202240049301641","202202240432792621","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-24","D072202240049301641","202202240432792622","萨摩耶无限担保","997",""
"2022-02-24","D072202240049301257","202202240432790832","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049321069","202202240432790833","萨摩耶有限担保","998","手机归属地验证;非循环贷当前逾期金额;萨摩耶风险评价模型"
"2022-02-24","D072202240049292109","202202240432798006","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049292109","202202240432798010","萨摩耶无限担保","997",""
"2022-02-24","D072202240049301257","202202240432790843","萨摩耶无限担保","997",""
"2022-02-24","D072202240049321069","202202240432790844","萨摩耶无限担保","998","非循环贷当前逾期金额"
"2022-02-24","D072202240049292041","202202240432797257","萨摩耶有限担保","997",""
"2022-02-24","D072202240049291812","202202240432794955","萨摩耶有限担保","998","借款人申请贷款时在本行历史逾期天数;百行三要素验证;近24个月贷款累计逾期次数;萨摩耶风险评价模型"
"2022-02-24","D072202240049291812","202202240432794960","萨摩耶无限担保","998","借款人申请贷款时在本行历史逾期天数;萨摩耶风险评价模型_无限"
"2022-02-24","D072202240049291963","202202240432796254","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049291963","202202240432796256","萨摩耶无限担保","997",""
"2022-02-24","D072202240049311687","202202240432794491","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049311687","202202240432794494","萨摩耶无限担保","997",""
"2022-02-24","D072202240049291984","202202240432796543","萨摩耶有限担保","997",""
"2022-02-24","D072202240049302206","202202240432797861","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049302206","202202240432797864","萨摩耶无限担保","997",""
"2022-02-24","D072202240049311401","202202240432790959","萨摩耶有限担保","998","1个月内不可继续申请的拒绝;手机归属地验证;非循环贷当前逾期金额;萨摩耶风险评价模型"
"2022-02-24","D072202240049311401","202202240432790960","萨摩耶无限担保","998","1个月内不可继续申请的拒绝;非循环贷当前逾期金额"
"2022-02-24","D072202240049321767","202202240432796854","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-24","D072202240049321767","202202240432796855","萨摩耶无限担保","997",""
"2022-02-25","D072202250049400075","202202250432798988","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-25","D072202250049410067","202202250432798989","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-25","D072202250049400075","202202250432798990","萨摩耶无限担保","997",""
"2022-02-25","D072202250049410067","202202250432798991","萨摩耶无限担保","997",""
"2022-02-25","D072202250049400076","202202250432798998","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2022-02-25","D072202250049400076","202202250432798999","萨摩耶无限担保","997",""
"2022-02-25","D072202250049400077","202202250432799002","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近1个月百融多头_人行信息厚;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2022-02-25","D072202250049400077","202202250432799009","萨摩耶无限担保","997",""
"2022-02-25","D072202250049420014","202202250434175806","萨摩耶有限担保","998","近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-02-25","D072202250049410707","202202250434174029","萨摩耶有限担保","998","是否复借;百行三要素验证;萨摩耶风险评价模型"
"2022-02-25","D072202250049420014","202202250434175824","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-25","D072202250049410707","202202250434174034","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-25","D072202250049420008","202202250434169443","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-25","D072202250049440020","202202250434174821","萨摩耶有限担保","998","是否复借;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2022-02-25","D072202250049420008","202202250434169450","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-25","D072202250049440020","202202250434174844","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-25","D072202250049400905","202202250434175616","萨摩耶有限担保","998","手机归属地验证;萨摩耶风险评价模型"
"2022-02-25","D072202250049400905","202202250434175621","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2022-02-25","D072202250049470013","202202250434176651","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2022-02-25","D072202250049470013","202202250434176659","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
