"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"D072202230049290327","萨摩耶无限担保","202202230430037007","0","-999999","-999999.000000","0","-999999","0","-999999","28","0","14","18","-999999.00","-999999.00","0.428600","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049290327","萨摩耶有限担保","202202230430037007","0","-999999","-999999.000000","0","-999999","0","-999999","28","0","14","18","-999999.00","-999999.00","0.428600","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049290328","萨摩耶有限担保","202202230430037009","0","-999999","-999999.000000","0","-999999","0","-999999","6","0","31","35","-999999.00","-999999.00","0.851900","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072202230049290544","萨摩耶无限担保","202202230431409513","0","-999999","-999999.000000","0","238","0","-999999","30","0","33","18","-999999.00","-999999.00","0.904800","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049290544","萨摩耶有限担保","202202230431409513","0","-999999","-999999.000000","0","238","0","-999999","30","0","33","18","-999999.00","-999999.00","0.904800","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049300972","萨摩耶无限担保","202202230431416251","1","-999999","-999999.000000","0","404","0","31","16","5","7","76","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049300972","萨摩耶有限担保","202202230431416251","1","-999999","-999999.000000","0","404","0","31","16","5","7","76","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049310511","萨摩耶无限担保","202202230431411180","2","-999999","0.666700","0","33","0","-999999","21","0","45","130","1000.00","3000.00","0.714300","-999999.0000","0.857100","0","1","1","0","-999999","-999999"
"D072202230049310511","萨摩耶有限担保","202202230431411180","2","-999999","0.666700","0","33","0","-999999","21","0","45","130","1000.00","3000.00","0.714300","-999999.0000","0.857100","0","1","1","0","-999999","-999999"
"D072202230049310912","萨摩耶无限担保","202202230431416346","0","-999999","1.000000","0","-999999","0","-999999","22","0","62","73","10000.00","10000.00","0.588200","490.0000","1.000000","0","1","1","0","-999999","-999999"
"D072202230049310912","萨摩耶有限担保","202202230431416346","0","-999999","1.000000","0","-999999","0","-999999","22","0","62","73","10000.00","10000.00","0.588200","490.0000","1.000000","0","1","1","0","-999999","-999999"
"D072202230049320198","萨摩耶无限担保","202202230430037472","0","-999999","-999999.000000","0","-999999","0","-999999","16","0","47","50","-999999.00","-999999.00","0.944400","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"D072202230049320198","萨摩耶有限担保","202202230430037472","0","-999999","-999999.000000","0","-999999","0","-999999","16","0","47","50","-999999.00","-999999.00","0.944400","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
