"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2021-12-10","D072112100047101179","202112100340180861","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047111143","202112100340180862","萨摩耶有限担保","998","是否复借;征信白户拒绝;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047081209","202112100340180863","萨摩耶有限担保","998","是否复借;萨摩耶风险评价模型"
"2021-12-10","D072112100047101179","202112100340180867","萨摩耶无限担保","997",""
"2021-12-10","D072112100047111143","202112100340180868","萨摩耶无限担保","998","征信白户拒绝"
"2021-12-10","D072112100047081209","202112100340180869","萨摩耶无限担保","997",""
"2021-12-10","D072112100047081210","202112100340180870","萨摩耶有限担保","998","是否复借;手机归属地验证;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047081210","202112100340180880","萨摩耶无限担保","998","手机归属地验证"
"2021-12-10","D072112100047111177","202112100340181141","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型"
"2021-12-10","D072112100047111202","202112100340181403","萨摩耶有限担保","998","手机归属地验证;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047140009","202112100340181404","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚"
"2021-12-10","D072112100047091597","202112100340181150","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047111202","202112100340181407","萨摩耶无限担保","997",""
"2021-12-10","D072112100047140009","202112100340181408","萨摩耶无限担保","997",""
"2021-12-10","D072112100047111177","202112100340181154","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047101206","202112100340181157","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047081335","202112100340181159","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;近3个月百融多头_人行信息厚"
"2021-12-10","D072112100047101207","202112100340181160","萨摩耶有限担保","997",""
"2021-12-10","D072112100047091597","202112100340181161","萨摩耶无限担保","997",""
"2021-12-10","D072112100047111178","202112100340181162","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近3个月百融多头_人行信息厚;萨摩耶风险评价模型"
"2021-12-10","D072112100047101206","202112100340181163","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047081335","202112100340181165","萨摩耶无限担保","997",""
"2021-12-10","D072112100047111178","202112100340181169","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047081217","202112100340180962","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2021-12-10","D072112100047101189","202112100340180963","萨摩耶有限担保","998","萨摩耶风险评价模型"
"2021-12-10","D072112100047081217","202112100340180967","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047101189","202112100340180970","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047091609","202112100340181257","萨摩耶有限担保","998","百行三要素验证"
"2021-12-10","D072112100047091609","202112100340181261","萨摩耶无限担保","997",""
"2021-12-10","D072112100047140037","202112100340181531","萨摩耶有限担保","998","是否复借;萨摩耶风险评价模型"
"2021-12-10","D072112100047140037","202112100340181536","萨摩耶无限担保","998","萨摩耶风险评价模型_无限"
"2021-12-10","D072112100047170217","202112100340183092","萨摩耶有限担保","998","百行三要素验证"
"2021-12-10","D072112100047170217","202112100340183094","萨摩耶无限担保","997",""
"2021-12-10","D072112100047091618","202112100340181319","萨摩耶有限担保","997",""
"2021-12-10","D072112100047081207","202112100340180821","萨摩耶有限担保","998","是否复借;手机归属地验证;萨摩耶风险评价模型"
