"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"D072201050047601896","萨摩耶无限担保","202201050371304915","0","-999999","1.000000","0","175","2","-999999","11","0","9","53","27000.00","48000.00","0.500000","-999999.0000","0.750000","0","1","1","0","-999999","-999999"
"D072201050047601896","萨摩耶有限担保","202201050371304915","0","-999999","1.000000","0","175","2","-999999","11","0","9","53","27000.00","48000.00","0.500000","-999999.0000","0.750000","0","1","1","0","-999999","-999999"
"D072201050047621801","萨摩耶无限担保","202201050371304411","0","-999999","0.291700","1","-999999","0","-999999","4","0","11","169","1.00","12000.00","0.000000","-999999.0000","0.833300","0","1","1","0","-999999","-999999"
"D072201050047621801","萨摩耶有限担保","202201050371304411","0","-999999","0.291700","1","-999999","0","-999999","4","0","11","169","1.00","12000.00","0.000000","-999999.0000","0.833300","0","1","1","0","-999999","-999999"
"D072201050047631106","萨摩耶无限担保","202201050371304332","0","-999999","1.000000","0","193","0","34","7","0","14","60","1200.00","6000.00","0.200000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201050047631106","萨摩耶有限担保","202201050371304332","0","-999999","1.000000","0","193","0","34","7","0","14","60","1200.00","6000.00","0.200000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201050047631213","萨摩耶无限担保","202201050371305009","1","-999999","-999999.000000","0","121","0","-999999","14","0","16","34","-999999.00","-999999.00","0.666700","-999999.0000","0.666700","0","1","0","0","-999999","-999999"
"D072201050047631213","萨摩耶有限担保","202201050371305009","1","-999999","-999999.000000","0","121","0","-999999","14","0","16","34","-999999.00","-999999.00","0.666700","-999999.0000","0.666700","0","1","0","0","-999999","-999999"
"D072201060047602212","萨摩耶无限担保","202201060371305594","0","-999999","1.000000","0","520","0","-999999","10","0","8","41","4000.00","4000.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201060047602212","萨摩耶有限担保","202201060371305594","0","-999999","1.000000","0","520","0","-999999","10","0","8","41","4000.00","4000.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"D072201060047602213","萨摩耶无限担保","202201060371305589","0","1","-999999.000000","0","142","0","1","32","1","117","33","-999999.00","-999999.00","0.823500","836.0000","0.941200","0","1","0","0","-999999","-999999"
"D072201060047602213","萨摩耶有限担保","202201060371305584","0","1","-999999.000000","0","142","0","1","32","1","117","33","-999999.00","-999999.00","0.823500","836.0000","0.941200","0","1","0","0","-999999","-999999"
