"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"2021-12-10","D072112100047101179","202112100340180861","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型","0","1","0.567600","0","128","0","23","13","0","33","42","-999999.00","21000.00","0.083300","-999999.0000","1.000000","1","1","1","0","-999999","-999999"
"2021-12-10","D072112100047111143","202112100340180862","萨摩耶有限担保","998","是否复借;征信白户拒绝;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型","0","-999999","-999999.000000","0","561","0","-999999","10","0","18","37","-999999.00","-999999.00","-999999.000000","-999999.0000","-999999.000000","0","1","1","0","-999999","-999999"
"2021-12-10","D072112100047081209","202112100340180863","萨摩耶有限担保","998","是否复借;萨摩耶风险评价模型","0","1","0.809600","0","371","2","9","10","0","10","103","5000.00","55000.00","0.000000","78.0000","1.000000","1","1","1","0","-999999","-999999"
"2021-12-10","D072112100047081210","202112100340180870","萨摩耶有限担保","998","是否复借;手机归属地验证;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型","6","-999999","0.455600","0","582","1","-999999","36","0","39","97","2000.00","43200.00","0.500000","397.0000","0.833300","0","1","1","0","-999999","-999999"
"2021-12-10","D072112100047081217","202112100340180962","萨摩耶有限担保","998","萨摩耶风险评价模型","4","1","1.000000","0","109","1","6","29","1","48","159","7000.00","58000.00","0.111100","-999999.0000","0.833300","0","1","1","1","-999999","-999999"
"2021-12-10","D072112100047101189","202112100340180963","萨摩耶有限担保","998","萨摩耶风险评价模型","2","-999999","-999999.000000","0","-999999","0","38","32","7","24","73","-999999.00","-999999.00","0.857100","-999999.0000","0.857100","0","1","0","0","-999999","-999999"
"2021-12-10","D072112100047111171","202112100340181080","萨摩耶有限担保","998","是否复借;近3个月人行征信查询次数_人行信息厚;近六个月714类APP安装过个数;近六个月P2P类APP安装过个数","0","-999999","0.888900","0","-999999","0","-999999","10","0","6","121","28000.00","28000.00","0.333300","-999999.0000","0.666700","0","1","1","0","-999999","-999999"
"2021-12-10","D072112100047111177","202112100340181141","萨摩耶有限担保","998","百行三要素验证;萨摩耶风险评价模型","0","3","-999999.000000","0","-999999","0","9","19","1","11","17","-999999.00","-999999.00","0.857100","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"2021-12-10","D072112100047091597","202112100340181150","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型","1","-999999","-999999.000000","0","-999999","0","-999999","7","0","261","47","-999999.00","-999999.00","0.846200","-999999.0000","0.923100","0","1","0","0","-999999","-999999"
"2021-12-10","D072112100047101206","202112100340181157","萨摩耶有限担保","998","是否复借;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;萨摩耶风险评价模型","2","-999999","0.870900","0","25","0","-999999","17","0","11","33","4800.00","14000.00","1.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"2021-12-10","D072112100047081335","202112100340181159","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;近3个月百融多头_人行信息厚","0","1","0.714300","0","160","0","16","41","0","141","42","-999999.00","10000.00","0.600000","1172.0000","0.800000","1","1","1","0","-999999","-999999"
"2021-12-10","D072112100047101207","202112100340181160","萨摩耶有限担保","997","","0","-999999","-999999.000000","0","-999999","0","-999999","4","0","17","45","-999999.00","0.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"2021-12-10","D072112100047111178","202112100340181162","萨摩耶有限担保","998","近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近3个月百融多头_人行信息厚;萨摩耶风险评价模型","0","1","0.805400","0","231","1","21","29","1","123","108","1000.00","24000.00","0.695700","-999999.0000","0.913000","0","1","1","0","-999999","-999999"
