BP_APPL_SEQ,LOAN_TYPE_NAME,source_appl_seq,X135,X145,X139,X134,X136,X140,X143,X152,X141,X155,X153,X029,X114,X137,X150,X138,X142,X131,X132,X133,X016,X017,X172,X171,X170,X169,X016,X017
D072203010049530671,???????,2.02203E+17,0,-999999,0.4483,0,218,0,-999999,20,0,30,49,13000,13000,0.4545,-999999,0.8182,0,1,1,0,-999999,-999999,0,0,2,33,-999999,-999999
D072203010049530742,???????,2.02203E+17,0,-999999,-999999,0,635,0,-999999,19,0,25,30,-999999,-999999,0.9583,-999999,0.75,0,1,0,0,-999999,-999999,0,0,3,31,-999999,-999999
D072203010049530742,???????,2.02203E+17,0,-999999,-999999,0,635,0,-999999,19,0,25,30,-999999,-999999,0.9583,-999999,0.75,0,1,0,0,-999999,-999999,0,0,3,31,-999999,-999999
D072203010049531159,???????,2.02203E+17,1,-999999,0.9573,0,158,2,-999999,19,0,11,65,15621,36000,0.6,-999999,1,0,1,1,0,-999999,-999999,0,0,8,35,-999999,-999999
D072203010049531159,???????,2.02203E+17,1,-999999,0.9573,0,158,2,-999999,19,0,11,65,15621,36000,0.6,-999999,1,0,1,1,0,-999999,-999999,0,0,8,35,-999999,-999999
D072203010049540596,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,6,0,30,50,-999999,-999999,0.8333,-999999,0.8333,0,1,0,0,-999999,-999999,0,0,0,17,-999999,-999999
D072203010049540596,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,6,0,30,50,-999999,-999999,0.8333,-999999,0.8333,0,1,0,0,-999999,-999999,0,0,0,17,-999999,-999999
D072203010049540885,???????,2.02203E+17,1,-999999,0,0,179,0,-999999,5,0,35,47,4000,-999999,0.6,-999999,1,0,1,1,0,-999999,-999999,0,0,1,5,-999999,-999999
D072203010049540885,???????,2.02203E+17,1,-999999,0,0,179,0,-999999,5,0,35,47,4000,-999999,0.6,-999999,1,0,1,1,0,-999999,-999999,0,0,1,5,-999999,-999999
D072203010049550822,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,9,0,12,20,-999999,-999999,0,836,0.8,0,1,0,0,-999999,-999999,0,1,0,13,-999999,-999999
D072203010049550822,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,9,0,12,20,-999999,-999999,0,836,0.8,0,1,0,0,-999999,-999999,0,1,0,13,-999999,-999999
D072203010049550883,???????,2.02203E+17,1,-999999,1,0,238,0,-999999,44,0,45,51,10000,24000,0.8276,-999999,0.8966,0,1,1,0,-999999,-999999,0,0,1,64,-999999,-999999
D072203010049550883,???????,2.02203E+17,1,-999999,1,0,238,0,-999999,44,0,45,51,10000,24000,0.8276,-999999,0.8966,0,1,1,0,-999999,-999999,0,0,1,64,-999999,-999999
D072203010049560376,???????,2.02203E+17,4,-999999,-999999,0,149,0,57,23,6,31,67,-999999,-999999,0.3333,-999999,1,0,1,0,0,-999999,-999999,0,0,3,30,-999999,-999999
D072203010049560376,???????,2.02203E+17,4,-999999,-999999,0,149,0,57,23,6,31,67,-999999,-999999,0.3333,-999999,1,0,1,0,0,-999999,-999999,0,0,3,30,-999999,-999999
D072203010049560377,???????,2.02203E+17,1,-999999,1,0,-999999,0,49,24,0,47,173,8000,15130,0.7778,-999999,0.963,0,1,1,0,-999999,-999999,0,0,0,45,-999999,-999999
D072203010049560377,???????,2.02203E+17,1,-999999,1,0,-999999,0,49,24,0,47,173,8000,15130,0.7778,-999999,0.963,0,1,1,0,-999999,-999999,0,0,0,45,-999999,-999999
D072203010049560378,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,8,0,17,21,-999999,-999999,0.6667,-999999,1,0,1,0,0,-999999,-999999,0,0,0,31,-999999,-999999
D072203010049560378,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,8,0,17,21,-999999,-999999,0.6667,-999999,1,0,1,0,0,-999999,-999999,0,0,0,31,-999999,-999999
D072203010049561065,???????,2.02203E+17,1,-999999,-999999,0,71,0,-999999,16,0,21,48,-999999,-999999,0.5,-999999,1,0,1,0,0,-999999,-999999,0,0,3,21,-999999,-999999
D072203010049561065,???????,2.02203E+17,1,-999999,-999999,0,71,0,-999999,16,0,21,48,-999999,-999999,0.5,-999999,1,0,1,0,0,-999999,-999999,0,0,3,21,-999999,-999999
D072203010049561225,???????,2.02203E+17,2,-999999,-999999,0,158,0,-999999,34,0,32,43,-999999,-999999,0.5,-999999,1,0,1,0,0,-999999,-999999,0,0,12,76,-999999,-999999
D072203010049561225,???????,2.02203E+17,2,-999999,-999999,0,158,0,-999999,34,0,32,43,-999999,-999999,0.5,-999999,1,0,1,0,0,-999999,-999999,0,0,12,76,-999999,-999999
D072203010049561275,???????,2.02203E+17,0,-999999,1,0,76,0,27,21,7,6,53,2000,25000,1,-999999,1,0,1,1,0,-999999,-999999,0,0,11,24,-999999,-999999
D072203010049561275,???????,2.02203E+17,0,-999999,1,0,76,0,27,21,7,6,53,2000,25000,1,-999999,1,0,1,1,0,-999999,-999999,0,0,11,24,-999999,-999999
D072203010049570387,???????,2.02203E+17,0,-999999,-999999,0,341,0,-999999,23,0,77,33,-999999,-999999,0.8,-999999,0.9,0,1,0,0,-999999,-999999,0,0,1,37,-999999,-999999
D072203010049570387,???????,2.02203E+17,0,-999999,-999999,0,341,0,-999999,23,0,77,33,-999999,-999999,0.8,-999999,0.9,0,1,0,0,-999999,-999999,0,0,1,37,-999999,-999999
D072203010049570517,???????,2.02203E+17,0,-999999,1,0,-999999,0,-999999,5,0,2,113,32000,32000,0,-999999,1,0,1,1,0,-999999,-999999,0,0,0,5,-999999,-999999
D072203010049570517,???????,2.02203E+17,0,-999999,1,0,-999999,0,-999999,5,0,2,113,32000,32000,0,-999999,1,0,1,1,0,-999999,-999999,0,0,0,5,-999999,-999999
D072203010049571102,???????,2.02203E+17,3,-999999,1,0,-999999,0,-999999,46,0,34,28,3000,3000,0.6667,-999999,1,0,1,1,0,-999999,-999999,0,0,0,68,-999999,-999999
D072203010049571102,???????,2.02203E+17,3,-999999,1,0,-999999,0,-999999,46,0,34,28,3000,3000,0.6667,-999999,1,0,1,1,0,-999999,-999999,0,0,0,68,-999999,-999999
D072203010049571182,???????,2.02203E+17,0,-999999,1,0,247,0,-999999,6,0,69,49,3000,7000,0.3333,-999999,1,0,1,1,0,-999999,-999999,0,0,3,11,-999999,-999999
D072203010049571182,???????,2.02203E+17,0,-999999,1,0,247,0,-999999,6,0,69,49,3000,7000,0.3333,-999999,1,0,1,1,0,-999999,-999999,0,0,3,11,-999999,-999999
D072203010049571264,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,7,0,20,44,-999999,-999999,0.75,-999999,1,0,1,0,0,-999999,-999999,0,0,0,14,-999999,-999999
D072203010049571264,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,7,0,20,44,-999999,-999999,0.75,-999999,1,0,1,0,0,-999999,-999999,0,0,0,14,-999999,-999999
D072203010049580008,???????,2.02203E+17,1,-999999,0,0,620,0,-999999,46,0,56,58,2000,2000,0.5,592,1,0,1,1,0,-999999,-999999,0,1,1,74,-999999,-999999
D072203010049580008,???????,2.02203E+17,1,-999999,0,0,620,0,-999999,46,0,56,58,2000,2000,0.5,592,1,0,1,1,0,-999999,-999999,0,1,1,74,-999999,-999999
D072203010049590077,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,13,0,7,19,-999999,-999999,0.2857,-999999,1,0,1,0,0,-999999,-999999,0,0,0,16,-999999,-999999
D072203010049590077,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,13,0,7,19,-999999,-999999,0.2857,-999999,1,0,1,0,0,-999999,-999999,0,0,0,16,-999999,-999999
D072203010049600066,???????,2.02203E+17,0,1,0.5,0,393,0,22,9,1,53,84,5000,5000,0.6786,-999999,1,0,1,1,0,-999999,-999999,0,0,1,38,-999999,-999999
D072203010049600066,???????,2.02203E+17,0,1,0.5,0,393,0,22,9,1,53,84,5000,5000,0.6786,-999999,1,0,1,1,0,-999999,-999999,0,0,1,38,-999999,-999999
D072203010049600098,???????,2.02203E+17,3,2,1,0,236,2,23,64,1,73,185,30000,74000,0.7308,630,0.9231,0,1,1,0,-999999,-999999,0,1,2,110,-999999,-999999
D072203010049600098,???????,2.02203E+17,3,2,1,0,236,2,23,64,1,73,185,30000,74000,0.7308,630,0.9231,0,1,1,0,-999999,-999999,0,1,2,110,-999999,-999999
D072203010049610004,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,26,0,18,63,-999999,-999999,0.7778,-999999,0.8889,0,1,0,0,-999999,-999999,0,0,0,26,-999999,-999999
D072203010049610004,???????,2.02203E+17,1,-999999,-999999,0,-999999,0,-999999,26,0,18,63,-999999,-999999,0.7778,-999999,0.8889,0,1,0,0,-999999,-999999,0,0,0,26,-999999,-999999
D072203010049610044,???????,2.02203E+17,1,1,0.9885,0,249,2,13,12,0,22,138,-999999,15000,0.6667,-999999,0.6667,1,1,1,0,-999999,-999999,0,0,5,18,-999999,-999999
D072203010049610044,???????,2.02203E+17,1,1,0.9885,0,249,2,13,12,0,22,138,-999999,15000,0.6667,-999999,0.6667,1,1,1,0,-999999,-999999,0,0,5,18,-999999,-999999
D072203010049630111,???????,2.02203E+17,2,-999999,-999999,0,-999999,0,-999999,22,0,32,31,-999999,-999999,0.7368,-999999,1,0,1,0,0,-999999,-999999,0,0,0,35,-999999,-999999
