"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164609291982711859","微博导流","11164344972961283183","0","-999999","0.000000","0","-999999","0","-999999","1","0","13","170","-999999.00","0.00","0.555600","322.0000","1.000000","0","1","1","0","-999999","-999999"
"11164609625961497639","微博导流","11164609625961497639","3","-999999","0.659300","1","34","2","43","24","1","17","125","-999999.00","9000.00","0.384600","-999999.0000","0.769200","0","1","1","0","-999999","-999999"
"11164609694068710094","微博导流","11164609694068710094","0","1","-999999.000000","0","-999999","0","21","21","1","42","34","-999999.00","-999999.00","0.692300","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164609694129318080","微博导流","11164609694129318080","0","-999999","-999999.000000","0","206","0","-999999","15","0","13","51","-999999.00","-999999.00","0.333300","1000.0000","0.666700","0","1","0","0","-999999","-999999"
"11164609784106015573","微博导流","11164609784106015573","0","-999999","0.793100","0","249","0","33","8","0","8","172","-999999.00","36000.00","0.666700","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164609817193562523","微博导流","11164352572384760114","0","-999999","-999999.000000","0","-999999","0","-999999","2","0","5","28","-999999.00","-999999.00","0.250000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164610138964310867","微博导流","11164378337506370720","0","-999999","-999999.000000","0","15","0","-999999","4","0","0","-999999","-999999.00","-999999.00","-999999.000000","-999999.0000","-999999.000000","0","0","0","0","-999999","-999999"
"11164610189866269295","微博导流","11164610189866269295","1","-999999","0.791700","0","696","0","-999999","7","0","35","24","10000.00","25000.00","0.583300","482.0000","1.000000","0","1","1","0","-999999","-999999"
"11164611044070131593","微博导流","11164611044070131593","0","-999999","0.000000","0","-999999","0","-999999","2","0","1","42","3500.00","-999999.00","1.000000","-999999.0000","0.000000","0","1","1","0","-999999","-999999"
"11164611188091790638","微博导流","11164611188091790638","0","-999999","-999999.000000","0","-999999","0","-999999","23","0","14","27","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164611428512076150","微博导流","11164611428512076150","0","-999999","1.000000","1","-999999","0","-999999","6","0","23","44","31000.00","31000.00","0.157900","868.0000","0.947400","0","1","1","0","-999999","-999999"
"11164611440041199163","微博导流","11164611440041199163","1","2","1.000000","1","364","0","1","4","7","19","54","-999999.00","5000.00","0.000000","-999999.0000","0.000000","1","1","1","0","11","-999999"
"11164612085770993218","微博导流","11164612085770993218","2","-999999","0.986600","0","94","1","58","10","0","20","199","14000.00","80000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
