"APPL_DT","BP_APPL_SEQ","APPL_CDE","LOAN_TYPE_NAME","WF_APPR_STS","APPRV_OPINION"
"2022-03-01","11164612085770993218","202203010439728216","微博导流","998","中风险限制;微博导流_风险评价模型2"
"2022-03-01","11164611044070131593","202203010439722097","微博导流","997",""
"2022-03-01","11164610138964310867","202203010439716992","微博导流","998","手机归属地验证;征信白户拒绝;近1个月人行征信查询次数_人行信息薄;近1个月百融多头_人行信息薄;近3个月百融多头_人行信息薄;微博导流_风险评价模型2"
"2022-03-01","11164609291982711859","202203010439712390","微博导流","997",""
"2022-03-01","11164609817193562523","202203010439714956","微博导流","997",""
"2022-03-01","11164612142049483487","202203010439728532","微博导流","998","手机归属地验证;微博导流_风险评价模型2"
"2022-03-01","11164609625961497639","202203010439713947","微博导流","998","手机归属地验证;近1个月人行征信查询次数_人行信息厚;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-03-01","11164611428512076150","202203010439723696","微博导流","998","手机归属地验证;百行三要素验证;近1个月人行征信查询次数_人行信息厚"
"2022-03-01","11164610189866269295","202203010439717297","微博导流","998","百行三要素验证"
"2022-03-01","11164611440041199163","202203010439723711","微博导流","998","贷款五级分类;一般贷款当前逾期期数大于等于3;一般贷款当前逾期期数大于等于1;近24个月贷款累计逾期次数;近12个月贷款连续逾期期数;近3个月贷款连续逾期期数;微博导流_风险评价模型2"
"2022-03-01","11164609784106015573","202203010439714752","微博导流","998","近1个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
"2022-03-01","11164613024111643514","202203010439733464","微博导流","998","微博导流_风险评价模型2"
"2022-03-01","11164609694129318080","202203010439714265","微博导流","997",""
"2022-03-01","11164609694068710094","202203010439714268","微博导流","998","手机归属地验证;近24个月贷款累计逾期次数;近3个月人行征信查询次数_人行信息厚;近6个月人行征信查询次数_人行信息厚;微博导流_风险评价模型2"
